2016-07-08 15:14:33,353 |  INFO | [Thread-4] | class pro.server.ProcessLoadKeyword:run(115) ----> LoadConfig - Start 
2016-07-08 15:14:33,456 | DEBUG | [main] | class pro.server.Program:Init(115) ----> Loaded. 
2016-07-08 15:14:33,457 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(236) ----> loadSMSDataTable:data.dat 
2016-07-08 15:14:33,458 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(244) ----> data.dat is empty 
2016-07-08 15:14:33,459 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(287) ----> Deleting.....: data.dat 
2016-07-08 15:14:33,459 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(236) ----> loadSMSDataTable:receivelog.dat 
2016-07-08 15:14:33,459 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(244) ----> receivelog.dat is empty 
2016-07-08 15:14:33,463 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(287) ----> Deleting.....: receivelog.dat 
2016-07-08 15:14:33,463 | DEBUG | [main] | class pro.server.Program:Init(122) ----> Start: LoadMO 
2016-07-08 15:14:33,528 | DEBUG | [main] | class pro.server.Program:Init(137) ----> Start: ExecuteQueue 
2016-07-08 15:14:33,657 | DEBUG | [main] | class pro.server.Program:Init(145) ----> Start: ExecuteInsertReceiveLog 
2016-07-08 15:14:33,678 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(30) ----> ---------------BAT DAU CHECK CHARGING -------------------- 
2016-07-08 15:14:33,680 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(55) ----> CHECK CHARGING SE DELAY 60 PHUT. 
2016-07-08 15:14:33,680 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(56) ----> ---------------KET THUC CHECK CHARGING -------------------- 
2016-07-08 15:14:33,690 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(22) ----> ---------------BAT DAU CHECK FINISH DAY -------------------- 
2016-07-08 15:14:33,691 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(38) ----> CHECK FINISH DAY SE DELAY 60 PHUT. 
2016-07-08 15:14:33,692 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(39) ----> ---------------KET THUC CHECK FINISH DAY-------------------- 
2016-07-08 15:14:33,779 | DEBUG | [Thread-0] | class pro.server.Program:run(366) ----> Listen MO............................................................... 
