2016-03-09 09:12:36,159 | ERROR | [main] | class pro.server.Program:<init>(90) ----> com.microsoft.sqlserver.jdbc.SQLServerException: The TCP/IP connection to the host localhost, port 1433 has failed. Error: "Connection refused: connect. Verify the connection properties. Make sure that an instance of SQL Server is running on the host and accepting TCP/IP connections at the port. Make sure that TCP connections to the port are not blocked by a firewall.". 
2016-03-09 09:12:36,169 | DEBUG | [Thread-0] | class pro.server.Program:run(358) ----> Listen MO............................................................... 
2016-03-09 09:12:36,179 |  INFO | [Thread-4] | class pro.server.Program:windowClosing(173) ----> 
Waiting ..... 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:windowClosing(200) ----> saveSMSDataTable(data.dat 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:saveSMSDataTable(297) ----> Saving data.dat . . . 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:saveSMSDataTable(314) ----> complete:0 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:windowClosing(204) ----> saveSMSDataTable(receivelog.dat 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:saveSMSDataTable(297) ----> Saving receivelog.dat . . . 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:saveSMSDataTable(314) ----> complete:0 
2016-03-09 09:12:36,680 |  INFO | [Thread-4] | class pro.server.Program:windowClosing(208) ----> Shutdown 
